iceberg_id,lat,lon,area_km2,length_km,width_km,velocity_ms,heading_deg,date,source
S58P,-58.4711,2.3843,1157.0,66.6,17.4,0.057,317.0,2026-09-10,mock
X79Z,-70.7726,-31.1416,591.1,46.5,12.7,0.343,193.8,2026-09-10,mock
Z61X,-55.0,-45.6531,416.7,32.4,12.9,0.186,240.8,2026-09-10,mock
V13C,-64.6949,2.2862,1471.3,62.4,23.6,0.367,213.1,2026-09-10,mock
K58I,-70.9139,101.1055,280.8,23.6,11.9,0.165,163.7,2026-09-10,mock
L38U,-70.288,-82.5531,1254.0,55.8,22.5,0.312,18.8,2026-09-10,mock
E40E,-60.6877,-50.6474,1133.8,66.0,17.2,0.12,7.3,2026-09-10,mock
T24Y,-70.7054,62.7191,334.8,32.2,10.4,0.318,60.4,2026-09-10,mock
M60W,-61.9623,146.6312,872.2,57.4,15.2,0.252,326.9,2026-09-10,mock
T25Z,-66.04,11.4184,944.6,39.4,24.0,0.32,306.1,2026-09-10,mock
N72D,-55.0736,-49.8839,648.3,38.1,17.0,0.227,122.8,2026-09-10,mock
U44T,-55.0,-26.0324,1244.8,62.3,20.0,0.202,264.2,2026-09-10,mock
H21I,-70.6038,-71.9608,702.7,49.3,14.2,0.257,116.0,2026-09-10,mock
K33P,-66.292,-112.8857,859.1,50.8,16.9,0.168,178.0,2026-09-10,mock
Q34C,-63.2518,-1.5494,426.7,34.6,12.3,0.358,200.1,2026-09-10,mock
Z12C,-59.5993,5.3573,1139.7,59.2,19.3,0.276,176.7,2026-09-10,mock
N80K,-69.284,45.9536,466.2,36.0,13.0,0.216,191.1,2026-09-10,mock
R98F,-67.2715,88.7275,384.6,25.4,15.1,0.117,43.0,2026-09-10,mock
D34J,-64.6362,5.226,1089.6,65.4,16.7,0.234,101.9,2026-09-10,mock
J99E,-63.1912,-0.232,1064.9,42.5,25.1,0.066,19.6,2026-09-10,mock
F16I,-66.5154,89.8264,1310.4,60.1,21.8,0.214,158.6,2026-09-10,mock
E82J,-58.8227,161.9635,607.1,31.0,19.6,0.27,19.3,2026-09-10,mock
Q58O,-58.5608,-66.6465,1149.0,57.1,20.1,0.327,81.2,2026-09-10,mock
X22Y,-66.3728,-109.595,1485.1,55.7,26.7,0.267,219.5,2026-09-10,mock
N67W,-60.5448,-1.3606,131.0,15.9,8.2,0.243,56.4,2026-09-10,mock
H43Z,-58.2009,-59.3208,439.3,29.9,14.7,0.351,25.6,2026-09-10,mock
I28C,-73.5494,-75.3645,1401.2,57.6,24.3,0.241,233.1,2026-09-10,mock
W48W,-78.0,-30.8716,1125.9,55.5,20.3,0.151,44.8,2026-09-10,mock
K87I,-55.0,-30.0858,745.8,34.5,21.6,0.064,155.5,2026-09-10,mock
V44S,-78.0,-11.2427,1255.6,58.8,21.3,0.383,359.8,2026-09-10,mock
N91P,-72.5689,-34.8443,783.3,43.5,18.0,0.147,358.9,2026-09-10,mock
P46V,-63.7999,-57.9496,488.4,28.4,17.2,0.106,148.2,2026-09-10,mock
M75A,-56.1643,-28.5971,687.7,38.1,18.1,0.163,349.3,2026-09-10,mock
O16G,-66.5063,88.9593,90.8,15.4,5.9,0.268,179.5,2026-09-10,mock
T40W,-66.0078,53.0302,662.8,45.3,14.6,0.092,350.3,2026-09-10,mock
D92E,-69.9925,-24.8898,617.9,34.3,18.0,0.344,40.8,2026-09-10,mock
O80E,-68.0735,54.5558,1061.1,49.9,21.3,0.219,170.0,2026-09-10,mock
N53Z,-62.3939,-27.1187,1122.0,43.9,25.6,0.074,278.2,2026-09-10,mock
E67R,-67.0283,-85.423,1091.8,61.8,17.7,0.253,237.6,2026-09-10,mock
W40S,-73.9488,62.3575,819.7,44.8,18.3,0.163,67.9,2026-09-10,mock
M94Z,-61.9644,-21.8337,75.0,15.6,4.8,0.297,292.1,2026-09-10,mock
D66D,-57.0798,141.8632,1447.6,49.5,29.2,0.388,119.5,2026-09-10,mock
Z43K,-60.5956,-85.0396,224.8,28.4,7.9,0.389,26.9,2026-09-10,mock
K90W,-55.973,-40.8049,1279.1,67.3,19.0,0.351,136.8,2026-09-10,mock
H21N,-63.206,-109.2285,63.5,10.0,6.4,0.271,331.5,2026-09-10,mock
K17J,-60.8963,-49.0833,159.8,16.8,9.5,0.155,10.4,2026-09-10,mock
C88M,-70.5516,84.9671,801.4,46.8,17.1,0.327,61.2,2026-09-10,mock
V11Z,-56.0687,-45.37,878.9,41.1,21.4,0.273,165.4,2026-09-10,mock
U64W,-68.3879,66.1283,245.4,24.3,10.1,0.171,211.5,2026-09-10,mock
L83J,-66.9316,34.2637,1499.1,72.9,20.6,0.087,137.3,2026-09-10,mock
X16T,-63.1477,34.7383,990.8,44.7,22.2,0.248,246.9,2026-09-10,mock
U34T,-61.1327,32.5247,436.4,38.4,11.4,0.262,126.8,2026-09-10,mock
U15J,-64.7224,46.8279,992.2,58.9,16.8,0.27,325.2,2026-09-10,mock
F35E,-75.3918,-77.8128,1101.2,42.2,26.1,0.153,269.1,2026-09-10,mock
P47X,-74.4059,-66.0553,801.0,54.6,14.7,0.341,92.5,2026-09-10,mock
X96M,-60.2128,140.7551,1444.7,49.9,29.0,0.388,309.7,2026-09-10,mock
V96I,-55.5541,148.2733,1188.1,41.7,28.5,0.238,163.7,2026-09-10,mock
R51T,-59.0897,-41.1435,563.5,41.3,13.6,0.215,223.0,2026-09-10,mock
B14J,-60.3235,9.7621,701.8,46.6,15.0,0.277,42.0,2026-09-10,mock
W79N,-76.2388,52.844,810.9,43.0,18.8,0.18,341.8,2026-09-10,mock
I14W,-55.4773,-55.6643,628.2,32.1,19.6,0.221,146.9,2026-09-10,mock
U55B,-72.1273,93.9409,361.8,28.3,12.8,0.393,132.2,2026-09-10,mock
U86A,-61.5412,-16.0538,1424.0,70.2,20.3,0.082,76.4,2026-09-10,mock
G85G,-72.3321,-32.7929,197.6,23.2,8.5,0.074,275.5,2026-09-10,mock
E26R,-55.0,147.1568,229.9,29.1,7.9,0.051,309.0,2026-09-10,mock
S51A,-63.5149,28.4978,1301.0,47.1,27.6,0.175,283.8,2026-09-10,mock
L75S,-70.4463,-21.4972,637.2,32.6,19.6,0.072,161.4,2026-09-10,mock
J68U,-63.9799,-63.5535,926.5,54.2,17.1,0.368,237.2,2026-09-10,mock
C20K,-78.0,-25.7305,608.4,43.1,14.1,0.222,327.5,2026-09-10,mock
T77J,-61.4167,-56.5143,940.2,51.2,18.4,0.299,137.1,2026-09-10,mock
R37N,-72.3445,58.706,1191.7,44.6,26.7,0.279,316.0,2026-09-10,mock
K95I,-68.5191,58.2144,1242.9,53.6,23.2,0.305,112.5,2026-09-10,mock
X57Z,-64.7641,101.2046,716.7,34.1,21.0,0.08,155.5,2026-09-10,mock
V64X,-67.5363,-7.706,846.8,42.6,19.9,0.093,127.3,2026-09-10,mock
H23L,-70.516,-22.0877,534.0,38.4,13.9,0.124,236.4,2026-09-10,mock
Y89T,-58.0373,140.7466,425.1,28.5,14.9,0.2,201.9,2026-09-10,mock
W49K,-68.773,75.8876,1394.3,69.6,20.0,0.144,64.9,2026-09-10,mock
A21X,-74.2389,106.6959,853.8,44.4,19.2,0.1,227.9,2026-09-10,mock
S86C,-67.5487,-72.905,517.9,34.0,15.2,0.303,279.7,2026-09-10,mock
P87O,-70.2739,-130.6777,930.6,53.1,17.5,0.145,238.3,2026-09-10,mock
P77V,-61.5683,-22.4517,179.6,20.7,8.7,0.149,244.3,2026-09-10,mock
E42J,-71.0458,37.0579,903.0,36.2,24.9,0.155,76.0,2026-09-10,mock
R95Z,-73.1002,95.5216,651.7,33.3,19.6,0.236,82.8,2026-09-10,mock
S64S,-73.5792,106.4529,73.0,10.4,7.0,0.372,310.4,2026-09-10,mock
T68W,-57.205,-32.5692,181.6,16.4,11.1,0.164,288.5,2026-09-10,mock
J53H,-67.1815,-122.2986,167.7,20.1,8.4,0.19,28.3,2026-09-10,mock
L92E,-66.5088,82.8914,953.5,50.2,19.0,0.118,279.4,2026-09-10,mock
Y90P,-65.772,-1.621,268.5,21.7,12.4,0.316,27.1,2026-09-10,mock
T51U,-69.8555,68.5963,678.9,50.5,13.4,0.248,228.7,2026-09-10,mock
Q19J,-72.7904,82.6486,668.9,37.3,17.9,0.146,20.2,2026-09-10,mock
T86Q,-72.8809,47.5067,1249.2,44.6,28.0,0.352,307.9,2026-09-10,mock
U34K,-59.6729,-28.4705,1189.8,66.1,18.0,0.207,291.5,2026-09-10,mock
W20Q,-58.1437,-55.7742,102.2,13.0,7.9,0.365,123.6,2026-09-10,mock
L46M,-73.4744,82.5323,662.3,39.9,16.6,0.233,57.1,2026-09-10,mock
R96M,-56.5554,-24.7331,88.0,16.0,5.5,0.167,118.7,2026-09-10,mock
V28L,-68.98,50.747,1447.0,64.0,22.6,0.103,29.3,2026-09-10,mock
M92Z,-61.823,46.1544,594.0,40.8,14.5,0.378,111.4,2026-09-10,mock
U95N,-66.1682,100.7035,1245.1,63.2,19.7,0.29,189.5,2026-09-10,mock
H27E,-66.0817,-74.6221,278.6,22.9,12.2,0.382,175.1,2026-09-10,mock
V53Y,-65.5421,-46.5564,766.5,45.2,17.0,0.309,189.6,2026-09-10,mock
F66B,-61.5895,-48.9984,251.7,29.6,8.5,0.32,291.3,2026-09-10,mock
H78H,-60.657,-23.5124,1454.7,64.4,22.6,0.313,282.2,2026-09-10,mock
O69Y,-61.844,48.7311,1356.9,49.9,27.2,0.287,205.4,2026-09-10,mock
I16U,-63.7188,40.2872,633.8,33.5,18.9,0.12,217.7,2026-09-10,mock
Y30I,-68.6588,62.4362,162.9,23.9,6.8,0.348,102.6,2026-09-10,mock
L13N,-68.3469,50.2205,661.8,50.3,13.1,0.128,162.4,2026-09-10,mock
D93K,-76.2355,-28.8812,585.4,30.6,19.1,0.129,114.7,2026-09-10,mock
P67T,-78.0,-94.0509,1376.9,58.6,23.5,0.341,273.2,2026-09-10,mock
N24Y,-71.1414,-39.5299,331.3,24.0,13.8,0.379,219.2,2026-09-10,mock
P86R,-69.1236,28.8555,365.3,32.7,11.2,0.268,22.6,2026-09-10,mock
S63F,-73.8805,-22.8486,1080.6,47.1,22.9,0.051,127.0,2026-09-10,mock
Q80A,-68.5179,90.8045,547.3,45.9,11.9,0.24,283.1,2026-09-10,mock
C54H,-55.5667,-43.794,586.5,36.3,16.2,0.312,128.6,2026-09-10,mock
K92F,-59.529,8.5099,877.0,53.5,16.4,0.097,126.8,2026-09-10,mock
Y68B,-55.8086,151.2387,1046.1,55.2,19.0,0.334,22.7,2026-09-10,mock
R70I,-69.4841,48.9333,1329.8,53.0,25.1,0.159,143.4,2026-09-10,mock
D57N,-72.6671,-34.3669,541.9,42.5,12.8,0.353,119.5,2026-09-10,mock
L76I,-66.7998,-122.2079,1435.2,55.7,25.7,0.115,249.1,2026-09-10,mock
D20K,-78.0,-82.465,651.6,51.0,12.8,0.113,105.8,2026-09-10,mock
X55T,-72.2436,88.4775,1079.3,43.8,24.6,0.205,161.0,2026-09-10,mock
Z96F,-61.5544,-15.6992,1422.4,47.5,29.9,0.273,130.8,2026-09-10,mock
L56M,-78.0,-21.8728,1174.2,42.1,27.9,0.074,280.3,2026-09-10,mock
E77L,-62.5761,-55.6969,680.4,39.0,17.4,0.205,27.7,2026-09-10,mock
R25I,-61.1561,-36.7393,1441.2,46.3,31.1,0.115,186.4,2026-09-10,mock
D27C,-77.1971,-81.8118,1494.6,55.2,27.1,0.371,176.8,2026-09-10,mock
V54W,-75.6734,67.2011,1495.9,71.5,20.9,0.389,355.2,2026-09-10,mock
F56Q,-63.0,-61.4891,456.9,28.3,16.1,0.298,252.1,2026-09-10,mock
L69Z,-65.5864,-3.2706,216.9,27.0,8.0,0.059,199.4,2026-09-10,mock
N62S,-68.4023,-58.9726,108.0,15.8,6.8,0.301,172.3,2026-09-10,mock
Y80U,-67.2467,-60.6892,120.5,17.3,7.0,0.231,46.2,2026-09-10,mock
E48F,-61.0804,-31.3121,654.6,49.3,13.3,0.069,44.7,2026-09-10,mock
I35U,-69.8734,-4.02,525.6,44.8,11.7,0.363,304.5,2026-09-10,mock
S29F,-66.9555,-66.7493,925.5,38.8,23.9,0.274,213.1,2026-09-10,mock
C15U,-68.9552,102.16,513.1,43.9,11.7,0.064,311.0,2026-09-10,mock
U79J,-74.0323,-75.6661,1152.8,52.1,22.1,0.274,179.3,2026-09-10,mock
B30O,-65.6335,89.5883,1209.0,60.8,19.9,0.154,26.3,2026-09-10,mock
L61E,-59.4575,-38.9793,913.9,43.8,20.8,0.301,264.3,2026-09-10,mock
D16J,-76.0946,-78.3505,485.5,34.7,14.0,0.144,89.3,2026-09-10,mock
X50G,-55.6584,-32.556,1444.4,73.0,19.8,0.335,336.2,2026-09-10,mock
M74O,-78.0,-65.3209,705.6,50.6,14.0,0.224,32.4,2026-09-10,mock
P46R,-64.6486,1.2869,85.3,14.7,5.8,0.359,235.5,2026-09-10,mock
M16S,-71.7283,-27.1722,1324.9,64.9,20.4,0.317,131.7,2026-09-10,mock
T97T,-67.7534,-68.9033,119.6,17.5,6.8,0.318,100.7,2026-09-10,mock
E35T,-67.2134,-67.2996,566.1,47.3,12.0,0.245,131.6,2026-09-10,mock
E87Q,-65.6861,-84.2924,68.0,14.6,4.7,0.331,187.0,2026-09-10,mock
K74Q,-69.8203,-6.908,252.1,31.6,8.0,0.309,107.7,2026-09-10,mock
N84J,-64.8015,-68.6123,717.6,32.5,22.1,0.166,39.5,2026-09-10,mock
Y84S,-70.8123,-69.037,947.6,51.6,18.4,0.143,236.0,2026-09-10,mock
E97H,-59.586,8.2057,264.1,27.7,9.5,0.267,302.8,2026-09-10,mock
G62Q,-74.4743,-19.0844,294.3,26.6,11.0,0.197,148.7,2026-09-10,mock
R51V,-73.6852,-81.0518,1274.1,63.6,20.0,0.297,186.7,2026-09-10,mock
Y97U,-72.1452,55.2126,268.0,31.6,8.5,0.17,127.5,2026-09-10,mock
J46W,-72.8669,-76.8977,296.5,24.1,12.3,0.245,81.0,2026-09-10,mock
J25S,-59.8976,5.3701,724.9,44.4,16.3,0.377,259.8,2026-09-10,mock
B46W,-69.7681,101.9728,597.9,36.1,16.6,0.321,52.7,2026-09-10,mock
R99I,-65.0364,-56.9287,392.1,31.4,12.5,0.121,193.9,2026-09-10,mock
H16D,-72.0077,-3.0733,366.5,23.8,15.4,0.367,81.2,2026-09-10,mock
F62U,-60.9971,-30.9279,1025.0,41.9,24.4,0.388,352.0,2026-09-10,mock
B21U,-61.9935,-121.129,979.3,56.5,17.3,0.151,102.7,2026-09-10,mock
F14M,-60.5778,-38.1394,1277.0,43.9,29.1,0.373,150.4,2026-09-10,mock
S87D,-74.8462,-67.1017,1443.6,73.7,19.6,0.357,3.3,2026-09-10,mock
Q69I,-60.9701,-126.8632,1483.8,63.0,23.6,0.223,337.9,2026-09-10,mock
K47S,-58.7119,0.6205,1099.4,57.0,19.3,0.302,5.1,2026-09-10,mock
C61V,-67.6272,80.3648,1285.7,68.8,18.7,0.339,185.5,2026-09-10,mock
Y44K,-66.6522,-65.9816,492.2,31.0,15.9,0.141,84.8,2026-09-10,mock
O49F,-65.6754,42.3863,399.7,29.7,13.4,0.133,240.4,2026-09-10,mock
J57T,-57.4393,-17.4068,1332.8,66.3,20.1,0.292,229.9,2026-09-10,mock
R70Y,-64.6087,-5.2929,238.2,27.8,8.6,0.262,149.7,2026-09-10,mock
Q67Q,-61.6801,-60.7319,1145.2,59.0,19.4,0.259,283.5,2026-09-10,mock
R29F,-62.4822,32.9173,177.2,24.8,7.1,0.366,72.8,2026-09-10,mock
O17O,-65.7551,93.8552,1023.6,56.7,18.0,0.221,323.6,2026-09-10,mock
M42A,-67.9675,-11.596,96.0,15.4,6.2,0.332,260.4,2026-09-10,mock
C70B,-63.921,7.5909,641.3,44.6,14.4,0.239,21.7,2026-09-10,mock
M67M,-67.4113,48.2692,1151.1,67.3,17.1,0.276,151.3,2026-09-10,mock
R60Q,-63.4975,-16.1757,1313.1,47.3,27.7,0.351,42.7,2026-09-10,mock
R64R,-65.8214,-18.6193,15.2,4.7,3.2,0.154,242.5,2026-09-10,mock
D14Z,-56.0664,-37.6746,525.8,32.6,16.1,0.378,261.0,2026-09-10,mock
B67T,-71.0076,98.0816,1326.8,44.2,30.0,0.122,36.3,2026-09-10,mock
Y17E,-68.1671,76.5603,1113.4,50.8,21.9,0.132,78.2,2026-09-10,mock
K40J,-59.7652,-78.4752,1375.4,61.6,22.3,0.252,278.1,2026-09-10,mock
X32U,-69.3674,-115.5936,339.4,26.5,12.8,0.071,341.5,2026-09-10,mock
K99N,-70.928,89.9686,1458.7,74.6,19.6,0.285,282.9,2026-09-10,mock
W28Z,-62.8078,-33.8062,1134.1,53.2,21.3,0.347,108.3,2026-09-10,mock
G52U,-68.2526,62.6716,1452.0,62.7,23.2,0.097,87.4,2026-09-10,mock
V87T,-59.2777,-44.786,147.8,21.6,6.8,0.117,96.6,2026-09-10,mock
K48A,-71.4638,-34.4551,1144.9,60.2,19.0,0.246,172.6,2026-09-10,mock
T36M,-57.4284,19.5623,184.8,27.2,6.8,0.218,87.3,2026-09-10,mock
L75P,-68.4067,-125.7515,431.8,32.7,13.2,0.277,111.0,2026-09-10,mock
N15S,-76.4139,75.2396,709.5,49.9,14.2,0.37,133.5,2026-09-10,mock
E35K,-61.3873,141.6777,398.6,38.9,10.2,0.253,150.3,2026-09-10,mock
P92X,-63.0016,15.7009,754.0,47.3,15.9,0.29,92.6,2026-09-10,mock
R92B,-72.7917,67.7832,534.7,30.3,17.6,0.241,66.3,2026-09-10,mock
U39C,-69.3618,-60.0991,1418.3,65.3,21.7,0.318,148.5,2026-09-10,mock
P94P,-64.5897,11.9616,689.5,32.8,21.0,0.273,336.2,2026-09-10,mock
A74W,-78.0,-23.5507,27.7,8.5,3.2,0.146,351.9,2026-09-10,mock
T77I,-70.8943,103.2914,277.1,32.2,8.6,0.234,86.7,2026-09-10,mock
W38J,-60.0556,161.1481,127.7,22.2,5.7,0.211,87.6,2026-09-10,mock
M80P,-66.9194,77.5185,1487.6,66.3,22.4,0.061,145.9,2026-09-10,mock
D77B,-73.8325,-19.0146,133.2,21.7,6.2,0.276,119.3,2026-09-10,mock
I79S,-64.6858,16.7435,1332.5,57.7,23.1,0.066,26.8,2026-09-10,mock
W60C,-74.871,102.963,478.6,43.1,11.1,0.255,270.8,2026-09-10,mock
Y27Z,-69.8755,32.4142,1253.6,53.5,23.4,0.364,119.4,2026-09-10,mock
K87Y,-58.8584,20.4238,1461.7,47.5,30.8,0.203,301.9,2026-09-10,mock
P39L,-55.0,-48.3989,1162.6,41.7,27.9,0.146,357.3,2026-09-10,mock
Z41W,-60.2886,-72.5446,1022.7,55.3,18.5,0.08,222.7,2026-09-10,mock
D21A,-67.6796,-65.5734,1070.4,55.9,19.2,0.309,114.0,2026-09-10,mock
Q62D,-67.0526,48.0404,162.3,16.2,10.0,0.201,200.5,2026-09-10,mock
N59Y,-78.0,-23.4734,899.4,54.8,16.4,0.352,4.4,2026-09-10,mock
F27I,-61.2516,-53.4139,1489.2,53.8,27.7,0.232,246.7,2026-09-10,mock
L42H,-68.8159,29.578,259.1,22.9,11.3,0.155,281.8,2026-09-10,mock
K89M,-59.8497,23.2142,301.4,22.3,13.5,0.157,341.6,2026-09-10,mock
J51T,-71.178,-81.9933,651.6,47.4,13.7,0.278,214.0,2026-09-10,mock
P83Z,-64.0915,14.8255,1447.2,75.1,19.3,0.152,250.2,2026-09-10,mock
R33V,-63.5411,-0.891,1180.9,51.3,23.0,0.376,71.9,2026-09-10,mock
W18Z,-74.299,-66.6099,697.8,46.7,15.0,0.203,104.9,2026-09-10,mock
Z58C,-75.7086,-80.2209,953.7,43.0,22.2,0.281,257.5,2026-09-10,mock
R14Z,-67.493,60.177,607.2,39.6,15.4,0.372,249.0,2026-09-10,mock
V55F,-67.2837,104.9689,894.8,57.8,15.5,0.088,89.4,2026-09-10,mock
Z65D,-69.0732,91.9966,971.1,53.5,18.1,0.388,119.4,2026-09-10,mock
L60O,-78.0,-33.44,1122.8,55.2,20.4,0.291,79.6,2026-09-10,mock
C24X,-73.0044,-74.4869,234.6,30.6,7.7,0.219,106.4,2026-09-10,mock
X99O,-69.6167,-15.008,1178.6,55.5,21.2,0.172,35.1,2026-09-10,mock
Z31X,-73.6283,81.9405,1069.1,39.8,26.8,0.17,39.4,2026-09-10,mock
U33F,-61.6401,7.2573,503.2,34.6,14.6,0.212,287.2,2026-09-10,mock
A37G,-68.6269,86.9675,1108.7,63.5,17.5,0.207,154.6,2026-09-10,mock
K35O,-63.9767,49.4619,103.2,13.0,7.9,0.355,67.3,2026-09-10,mock
S24L,-65.8765,-44.3209,796.3,48.3,16.5,0.259,220.1,2026-09-10,mock
C96E,-65.8448,99.1209,1222.5,61.7,19.8,0.154,221.2,2026-09-10,mock
E83M,-73.1214,89.7614,282.7,29.5,9.6,0.229,150.6,2026-09-10,mock
P46E,-62.4425,-26.035,1043.2,55.4,18.8,0.4,199.8,2026-09-10,mock
M81Q,-69.9542,-11.77,89.9,14.1,6.4,0.053,49.2,2026-09-10,mock
A38J,-70.2503,95.6409,629.3,47.0,13.4,0.221,29.8,2026-09-10,mock
R75D,-77.4515,-23.9717,260.6,25.3,10.3,0.31,275.7,2026-09-10,mock
X66R,-61.7579,-37.0466,1236.7,52.5,23.5,0.338,15.0,2026-09-10,mock
O43L,-56.9022,-6.2275,1246.8,63.6,19.6,0.154,359.8,2026-09-10,mock
S98L,-55.4327,150.4721,1491.0,70.3,21.2,0.133,291.9,2026-09-10,mock
B82L,-56.4925,156.2831,257.3,21.0,12.2,0.122,74.5,2026-09-10,mock
Q96D,-66.8891,-69.3369,492.2,39.1,12.6,0.151,96.2,2026-09-10,mock
E41E,-63.4723,-1.7293,1379.0,74.0,18.6,0.353,45.7,2026-09-10,mock
U63M,-62.879,12.8266,1266.9,53.9,23.5,0.1,227.7,2026-09-10,mock
L68P,-76.6448,69.638,1155.6,51.7,22.3,0.312,250.1,2026-09-10,mock
W55C,-68.4804,106.6672,1272.3,45.5,28.0,0.39,228.5,2026-09-10,mock
K80S,-74.4558,-88.6651,650.2,34.9,18.6,0.144,298.2,2026-09-10,mock
Z68A,-67.4386,-10.7399,522.2,39.9,13.1,0.067,35.8,2026-09-10,mock
E93J,-59.2057,-65.4605,690.2,52.4,13.2,0.2,358.4,2026-09-10,mock
U31B,-64.3558,0.9979,149.1,18.2,8.2,0.079,239.2,2026-09-10,mock
